Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,lower,avg,upper,Call
2017-06-01,MUTHOOTFIN,EQ,412.65,412.6,417.95,403.35,409.75,409.95,410.18,987025,404858166.75,21362,545941,55.31,2017,6,-0.6543075245365348,Slight negative,372.12777712560546,392.2892857142857,412.45079430296596,Hold Short/Liquidate Buy
2017-06-02,MUTHOOTFIN,EQ,409.95,414.7,432.0,408.7,427.7,428.2,420.37,1522773,640123295.8,24316,657014,43.15,2017,6,4.451762410050009,Among top gainers,367.00075131117023,394.84285714285716,422.6849629745441,Short
2017-06-05,MUTHOOTFIN,EQ,428.2,428.0,439.75,426.1,434.0,433.6,433.67,1130544,490279764.5,21349,368350,32.58,2017,6,1.2610929472209431,Positive,362.91147207150925,397.61428571428576,432.31709935706226,Short
2017-06-06,MUTHOOTFIN,EQ,433.6,433.65,438.6,422.4,425.25,424.85,432.24,514532,222402736.7,9382,201063,39.08,2017,6,-2.017988929889303,Negative,362.1688215665736,399.7357142857143,437.302607004855,Hold Short/Liquidate Buy
2017-06-07,MUTHOOTFIN,EQ,424.85,425.3,441.6,422.8,440.0,439.2,435.58,629866,274354657.45,11382,170446,27.06,2017,6,3.377662704483919,Among top gainers,363.01409875222316,404.02142857142854,445.0287583906339,Hold Short/Liquidate Buy
2017-06-08,MUTHOOTFIN,EQ,439.2,444.0,447.45,433.6,437.0,435.55,441.02,853515,376421420.35,13915,303913,35.61,2017,6,-0.8310564663023601,Slight negative,366.4902006371914,408.05,449.60979936280864,Hold Short/Liquidate Buy
2017-06-09,MUTHOOTFIN,EQ,435.55,438.65,453.3,422.8,447.0,446.7,447.81,1619995,725442350.4,29743,604389,37.31,2017,6,2.559981632418773,Positive,368.29739221042286,412.425,456.55260778957717,Hold Short/Liquidate Buy
2017-06-12,MUTHOOTFIN,EQ,446.7,455.0,455.0,445.4,450.8,449.45,449.93,1531400,689021268.35,22377,733110,47.87,2017,6,0.6156256995746512,Slight positive,372.4336386768509,417.1821428571428,461.93064703743477,Hold Short/Liquidate Buy
2017-06-13,MUTHOOTFIN,EQ,449.45,450.75,465.9,449.3,465.1,464.7,460.07,1525493,701839219.6,20158,653830,42.86,2017,6,3.393035932806754,Among top gainers,375.22888723993583,422.8,470.3711127600642,Hold Short/Liquidate Buy
2017-06-14,MUTHOOTFIN,EQ,464.7,465.9,479.4,460.35,475.35,476.9,470.28,1277514,600782957.5,16942,495848,38.81,2017,6,2.625349687970724,Positive,377.55194925272224,429.05,480.5480507472778,Hold Short/Liquidate Buy
2017-06-15,MUTHOOTFIN,EQ,476.9,474.95,481.2,468.85,473.2,472.8,475.08,655299,311319116.75,11969,189019,28.84,2017,6,-0.8597190186621861,Slight negative,381.02504702083957,434.3285714285715,487.6320958363034,Hold Short/Liquidate Buy
2017-06-16,MUTHOOTFIN,EQ,472.8,473.2,481.95,470.25,473.0,471.85,475.5,494930,235340581.95,8820,157774,31.88,2017,6,-0.2009306260575272,Slight or No change,389.57498904827315,440.10357142857146,490.63215380886976,Hold Short/Liquidate Buy
2017-06-19,MUTHOOTFIN,EQ,471.85,473.05,476.7,455.85,459.7,459.7,463.08,486877,225464649.35,8655,183965,37.78,2017,6,-2.5749708593832854,Negative,400.50744341382904,444.7214285714286,488.93541372902814,Hold Short/Liquidate Buy
2017-06-20,MUTHOOTFIN,EQ,459.7,459.7,472.05,455.6,464.1,464.8,465.47,396194,184416421.4,8060,134288,33.89,2017,6,1.1094191864259306,Positive,407.18306310434286,448.44642857142856,489.70979403851425,Hold Short/Liquidate Buy
