Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADANIPORTS,EQ,15-May-2017,357.95,359.0,359.75,350.85,356.0,356.2,354.78,1530781,543093896.1,14738,554124,36.2
ADANIPORTS,EQ,16-May-2017,356.2,354.2,358.15,351.15,353.55,354.5,354.64,1321254,468571841.6,24113,465010,35.19
ADANIPORTS,EQ,17-May-2017,354.5,354.5,354.8,347.55,348.95,348.55,349.74,1239867,433632452.3,19750,571621,46.1
ADANIPORTS,EQ,18-May-2017,348.55,344.3,359.55,342.2,348.15,347.9,350.16,3618961,1267198439.5,76390,963959,26.64
ADANIPORTS,EQ,19-May-2017,347.9,349.05,352.5,345.3,350.45,349.45,348.91,1302961,454610341.9,20989,492222,37.78
ADANIPORTS,EQ,22-May-2017,349.45,352.4,357.4,350.45,354.0,354.45,354.6,2939697,1042419733.85,36043,1207131,41.06
ADANIPORTS,EQ,23-May-2017,354.45,354.8,355.6,328.5,330.65,331.65,340.41,6270500,2134542924.05,70709,2738738,43.68
ADANIPORTS,EQ,24-May-2017,331.65,333.4,342.95,328.1,341.8,339.65,337.39,8363216,2821651249.2,78246,1533176,18.33
ADANIPORTS,EQ,25-May-2017,339.65,344.9,346.25,331.3,341.55,340.75,339.21,5992900,2032861963.3,57622,1993080,33.26
ADANIPORTS,EQ,26-May-2017,340.75,342.4,351.0,339.0,348.0,348.0,347.55,2754435,957311566.85,28126,1036015,37.61
ADANIPORTS,EQ,29-May-2017,348.0,347.8,348.35,325.1,327.8,327.8,331.08,3943111,1305479519.25,44755,1440160,36.52
ADANIPORTS,EQ,30-May-2017,327.8,328.4,342.9,327.45,341.0,340.35,337.25,3680879,1241380243.8,51558,1506427,40.93
ADANIPORTS,EQ,31-May-2017,340.35,341.5,345.75,336.55,341.75,339.0,339.69,12190256,4140919820.35,94792,9389385,77.02
ADANIPORTS,EQ,01-Jun-2017,339.0,337.6,351.95,337.6,350.5,349.2,345.71,3447544,1191835643.15,38653,1449223,42.04
ADANIPORTS,EQ,02-Jun-2017,349.2,352.0,359.4,350.5,357.0,357.9,356.79,3297747,1176599800.85,39939,809810,24.56
ADANIPORTS,EQ,05-Jun-2017,357.9,359.95,364.5,355.2,361.5,361.05,361.2,2830068,1022229864.0,31813,891587,31.5
ADANIPORTS,EQ,06-Jun-2017,361.05,362.95,368.75,357.05,360.55,361.45,361.51,5229905,1890666385.65,39979,2688647,51.41
ADANIPORTS,EQ,07-Jun-2017,361.45,363.6,363.95,357.3,359.5,359.1,360.29,5435369,1958318728.55,39716,2979849,54.82
ADANIPORTS,EQ,08-Jun-2017,359.1,359.25,361.85,350.5,360.15,359.15,356.46,4568139,1628376375.65,37373,2595605,56.82
ADANIPORTS,EQ,09-Jun-2017,359.15,360.0,360.6,350.25,359.6,359.85,356.71,7152603,2551426079.2,62422,4653276,65.06
ADANIPORTS,EQ,12-Jun-2017,359.85,359.7,359.7,353.55,358.5,356.85,355.91,4963488,1766570106.25,33056,3176070,63.99
ADANIPORTS,EQ,13-Jun-2017,356.85,359.0,363.15,355.4,360.05,359.4,358.99,5463098,1961198954.75,43624,3250231,59.49
ADANIPORTS,EQ,14-Jun-2017,359.4,360.5,360.9,356.1,359.95,359.5,358.73,6005138,2154240467.95,52462,4303037,71.66
ADANIPORTS,EQ,15-Jun-2017,359.5,359.45,366.4,357.75,360.0,360.0,361.79,3997432,1446234310.25,38912,1764531,44.14
ADANIPORTS,EQ,16-Jun-2017,360.0,361.5,365.1,356.25,364.9,363.15,360.57,5332597,1922749821.7,38347,3577084,67.08
ADANIPORTS,EQ,19-Jun-2017,363.15,365.0,375.6,365.0,373.65,373.8,371.87,7328947,2725421740.1,105974,3109194,42.42
ADANIPORTS,EQ,20-Jun-2017,373.8,375.6,377.7,370.1,374.05,375.65,374.86,4597214,1723331097.2,55660,2585956,56.25
ADANIPORTS,EQ,21-Jun-2017,375.65,374.75,377.2,367.2,369.95,369.95,371.88,2797034,1040150834.6,40320,1262268,45.13
ADANIPORTS,EQ,22-Jun-2017,369.95,370.0,373.8,367.5,369.3,369.45,370.87,1935079,717655350.3,30166,969841,50.12
ADANIPORTS,EQ,23-Jun-2017,369.45,369.45,370.5,361.65,368.0,365.45,364.46,3011500,1097571039.9,53047,1628889,54.09
ADANIPORTS,EQ,27-Jun-2017,365.45,367.9,372.8,365.45,366.8,367.7,368.94,2780694,1025914338.1,38952,1032749,37.14
ADANIPORTS,EQ,28-Jun-2017,367.7,368.4,369.65,363.05,364.35,364.5,365.95,2394375,876217934.5,53764,1316251,54.97
ADANIPORTS,EQ,29-Jun-2017,364.5,366.95,368.7,362.35,364.6,364.5,364.46,3343365,1218522788.2,37441,2153283,64.4
ADANIPORTS,EQ,30-Jun-2017,364.5,364.0,365.8,360.55,364.9,363.05,363.05,1386974,503543496.85,19945,358630,25.86
ADANIPORTS,EQ,03-Jul-2017,363.05,364.9,370.6,359.5,368.45,368.0,364.73,2171316,791948204.5,43766,648895,29.88
ADANIPORTS,EQ,04-Jul-2017,368.0,368.5,375.7,368.0,371.25,371.7,372.88,4186188,1560938108.3,60857,1853835,44.28
ADANIPORTS,EQ,05-Jul-2017,371.7,374.5,374.5,371.85,372.65,372.9,372.95,1422559,530537362.5,17676,703753,49.47
ADANIPORTS,EQ,06-Jul-2017,372.9,373.9,375.65,371.5,372.05,373.05,373.85,2318749,866867941.5,30128,1529765,65.97
ADANIPORTS,EQ,07-Jul-2017,373.05,372.1,374.95,370.0,370.8,371.6,373.12,3077926,1148431626.6,45205,1954640,63.51
ADANIPORTS,EQ,10-Jul-2017,371.6,382.7,382.7,372.0,374.0,374.95,374.78,860478,322493143.2,8328,582955,67.75
ADANIPORTS,EQ,11-Jul-2017,374.95,376.0,376.85,371.7,371.7,372.7,373.02,2646484,987197878.35,33939,1855639,70.12
ADANIPORTS,EQ,12-Jul-2017,372.7,372.25,375.3,371.65,374.0,373.85,373.6,2035281,760391019.9,25749,1195467,58.74
ADANIPORTS,EQ,13-Jul-2017,373.85,375.8,377.9,372.25,375.35,375.95,374.92,2956936,1108601224.35,46202,1874690,63.4
ADANIPORTS,EQ,14-Jul-2017,375.95,375.95,378.45,374.45,374.85,375.6,376.09,1737806,653571654.45,33739,826683,47.57
ADANIPORTS,EQ,17-Jul-2017,375.6,373.85,383.7,373.85,380.9,381.25,381.41,4784990,1825047055.75,32787,2973363,62.14
