Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMARAJABAT,EQ,15-May-2017,926.25,928.2,938.95,928.0,929.1,933.4,934.34,442351,413307446.9,16295,194376,43.94
AMARAJABAT,EQ,16-May-2017,933.4,937.3,937.3,917.4,923.0,924.7,928.74,302097,280570514.4,10098,139993,46.34
AMARAJABAT,EQ,17-May-2017,924.7,924.0,941.0,920.85,935.2,937.7,935.89,449382,420573432.55,12467,212942,47.39
AMARAJABAT,EQ,18-May-2017,937.7,932.45,932.45,906.0,912.85,912.1,920.0,251893,231741646.45,8547,90560,35.95
AMARAJABAT,EQ,19-May-2017,912.1,919.0,922.5,887.15,897.95,895.75,904.07,210088,189935162.1,7711,64656,30.78
AMARAJABAT,EQ,22-May-2017,895.75,902.3,905.8,875.05,875.3,877.7,890.4,255592,227578528.95,10813,104615,40.93
AMARAJABAT,EQ,23-May-2017,877.7,878.7,889.15,860.5,869.0,874.2,876.86,451773,396140173.6,14140,199107,44.07
AMARAJABAT,EQ,24-May-2017,874.2,874.9,886.35,805.7,830.15,835.65,841.26,1862271,1566652531.45,39701,669714,35.96
AMARAJABAT,EQ,25-May-2017,835.65,833.0,848.15,824.05,839.95,837.45,836.49,402168,336410596.7,15675,131928,32.8
AMARAJABAT,EQ,26-May-2017,837.45,839.8,877.5,838.2,863.55,865.85,863.83,624926,539830867.4,23249,347241,55.57
AMARAJABAT,EQ,29-May-2017,865.85,865.4,866.0,842.1,860.0,858.35,855.47,297787,254749071.65,7755,156768,52.64
AMARAJABAT,EQ,30-May-2017,858.35,859.65,870.0,846.2,866.05,868.35,863.64,229799,198463402.4,8251,88666,38.58
AMARAJABAT,EQ,31-May-2017,868.35,868.0,882.8,868.0,880.0,874.4,876.07,233268,204358189.35,10975,110342,47.3
AMARAJABAT,EQ,01-Jun-2017,874.4,872.0,879.05,863.2,870.0,868.25,870.76,220491,191994444.05,8756,109647,49.73
AMARAJABAT,EQ,02-Jun-2017,868.25,868.95,877.45,865.6,873.4,873.65,872.17,177113,154472519.35,14321,77816,43.94
AMARAJABAT,EQ,05-Jun-2017,873.65,874.9,882.7,872.0,881.8,880.15,878.61,148500,130473681.0,13032,86063,57.95
AMARAJABAT,EQ,06-Jun-2017,880.15,885.0,887.0,873.05,873.2,877.9,880.18,232079,204272103.35,9071,144954,62.46
AMARAJABAT,EQ,07-Jun-2017,877.9,876.1,881.6,870.05,873.0,874.25,875.37,171190,149855326.3,8634,84580,49.41
AMARAJABAT,EQ,08-Jun-2017,874.25,875.0,879.85,863.5,865.5,866.95,866.99,178292,154577747.9,8143,96363,54.05
