Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GODREJIND,EQ,15-May-2017,564.6,581.0,584.0,568.5,578.9,578.55,578.09,797171,460836225.3,21649,360927,45.28
GODREJIND,EQ,16-May-2017,578.55,581.45,589.0,572.25,583.8,584.8,583.6,500223,291930164.6,17204,210364,42.05
GODREJIND,EQ,17-May-2017,584.8,583.0,594.0,576.85,584.9,588.6,588.74,504155,296814880.85,8567,261667,51.9
GODREJIND,EQ,18-May-2017,588.6,582.0,588.85,571.2,572.25,574.6,580.9,223583,129878624.25,7144,99785,44.63
GODREJIND,EQ,19-May-2017,574.6,581.0,585.8,567.55,579.85,578.0,577.31,245436,141692454.15,4969,68041,27.72
GODREJIND,EQ,22-May-2017,578.0,584.45,586.75,562.35,567.0,565.95,576.1,460156,265093680.35,9762,131406,28.56
GODREJIND,EQ,23-May-2017,565.95,576.0,581.55,555.55,558.8,561.3,571.72,1085338,620507087.55,20749,185396,17.08
GODREJIND,EQ,24-May-2017,561.3,560.75,573.6,551.8,569.0,569.95,566.12,726457,411258378.25,13113,251584,34.63
GODREJIND,EQ,25-May-2017,569.95,570.4,585.0,569.75,584.5,583.9,578.12,597536,345447321.45,12426,300989,50.37
GODREJIND,EQ,26-May-2017,583.9,584.0,596.65,577.35,594.8,593.5,588.04,424831,249816977.85,7144,147182,34.64
GODREJIND,EQ,29-May-2017,593.5,592.0,599.9,582.75,585.9,585.25,588.57,181696,106940883.6,5018,59775,32.9
GODREJIND,EQ,30-May-2017,585.25,587.4,612.9,580.7,611.9,610.2,599.27,541003,324208618.85,11183,141935,26.24
GODREJIND,EQ,31-May-2017,610.2,612.0,618.75,601.55,603.0,604.55,611.53,693740,424245557.6,13900,213845,30.82
GODREJIND,EQ,01-Jun-2017,604.55,604.0,618.75,601.1,614.9,615.3,610.45,295177,180189680.6,7847,94387,31.98
GODREJIND,EQ,02-Jun-2017,615.3,616.55,621.0,609.5,610.05,611.9,615.0,253132,155675094.35,7143,62142,24.55
GODREJIND,EQ,05-Jun-2017,611.9,614.0,618.7,609.5,612.05,614.35,614.9,139332,85675726.35,3986,40910,29.36
GODREJIND,EQ,06-Jun-2017,614.35,613.0,614.65,594.3,601.45,599.85,600.79,300871,180760450.55,5104,117275,38.98
GODREJIND,EQ,07-Jun-2017,599.85,599.1,611.0,598.85,606.05,607.45,605.58,185158,112128000.25,5835,41342,22.33
GODREJIND,EQ,08-Jun-2017,607.45,607.05,623.7,605.4,609.8,609.35,615.36,550422,338708113.1,16712,117802,21.4
GODREJIND,EQ,09-Jun-2017,609.35,610.0,639.5,608.15,622.8,623.55,629.06,1411554,887949695.15,31619,282677,20.03
GODREJIND,EQ,12-Jun-2017,623.55,622.0,622.65,608.1,614.4,614.4,614.59,276446,169899874.05,16227,105136,38.03
GODREJIND,EQ,13-Jun-2017,614.4,618.65,626.75,609.45,621.8,623.35,618.21,552633,341643957.05,14034,126266,22.85
GODREJIND,EQ,14-Jun-2017,623.35,624.0,646.3,621.15,645.4,645.0,635.28,876173,556615677.0,16953,284348,32.45
GODREJIND,EQ,15-Jun-2017,645.0,644.5,650.7,634.2,635.3,636.8,642.71,570751,366828665.9,11914,104010,18.22
GODREJIND,EQ,16-Jun-2017,636.8,638.0,646.0,630.0,638.35,638.45,640.57,294430,188604462.75,8801,67393,22.89
GODREJIND,EQ,19-Jun-2017,638.45,639.95,649.8,637.15,639.15,640.0,643.11,320539,206140372.65,12686,117836,36.76
GODREJIND,EQ,20-Jun-2017,640.0,641.0,653.0,641.0,647.2,645.75,648.98,487209,316188577.55,14660,182115,37.38
GODREJIND,EQ,21-Jun-2017,645.75,646.5,656.0,646.5,648.15,648.4,650.35,288684,187746656.55,8971,124689,43.19
GODREJIND,EQ,22-Jun-2017,648.4,649.65,651.5,632.85,635.0,635.85,640.28,228881,146547698.45,8527,101755,44.46
GODREJIND,EQ,23-Jun-2017,635.85,636.0,637.25,613.5,626.85,627.55,624.02,393862,245776612.1,9593,139860,35.51
GODREJIND,EQ,27-Jun-2017,627.55,631.0,633.0,608.65,620.0,619.3,618.02,473442,292598452.25,12827,199596,42.16
GODREJIND,EQ,28-Jun-2017,619.3,624.0,624.0,609.4,616.95,618.2,617.03,345726,213321725.15,9027,124791,36.1
GODREJIND,EQ,29-Jun-2017,618.2,630.0,632.0,617.3,631.9,629.75,625.17,318163,198906241.2,7146,85370,26.83
GODREJIND,EQ,30-Jun-2017,629.75,631.9,643.9,624.0,639.0,637.8,636.94,349763,222778010.8,8736,69749,19.94
GODREJIND,EQ,03-Jul-2017,637.8,644.0,648.0,637.65,646.15,645.9,642.58,271673,174571844.5,11716,44241,16.28
GODREJIND,EQ,04-Jul-2017,645.9,646.55,662.95,645.3,650.0,649.0,654.06,485603,317612147.85,11604,67513,13.9
GODREJIND,EQ,05-Jul-2017,649.0,654.7,664.1,653.4,657.2,658.65,659.78,461565,304529665.8,15608,146850,31.82
GODREJIND,EQ,06-Jul-2017,658.65,658.0,669.35,650.7,658.7,657.95,660.15,739264,488028658.25,14126,106760,14.44
