Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDBI,EQ,15-May-2017,75.5,75.7,76.1,73.15,75.25,75.05,74.58,6688622,498825806.5,16062,1486475,22.22
IDBI,EQ,16-May-2017,75.05,75.3,77.75,73.85,77.05,76.65,75.38,8740098,658799552.05,24319,2578070,29.5
IDBI,EQ,17-May-2017,76.65,76.65,77.3,75.6,75.75,75.95,76.37,3152912,240782386.6,11386,643174,20.4
IDBI,EQ,18-May-2017,75.95,75.0,75.5,69.05,69.05,69.95,71.46,15086266,1078019708.7,36259,2852529,18.91
IDBI,EQ,19-May-2017,69.95,69.0,70.95,68.5,68.7,68.75,69.42,10966153,761289270.65,39512,1949156,17.77
IDBI,EQ,22-May-2017,68.75,69.0,69.6,65.75,65.75,66.2,67.21,5762847,387305384.8,16309,1607880,27.9
IDBI,EQ,23-May-2017,66.2,66.5,66.5,63.75,64.25,64.9,65.33,7617161,497660587.4,17564,1654486,21.72
IDBI,EQ,24-May-2017,64.9,63.5,63.95,60.25,61.0,61.0,62.2,14391668,895141183.1,35274,2796068,19.43
IDBI,EQ,25-May-2017,61.0,61.5,62.3,60.35,61.6,61.7,61.39,7624403,468076149.8,17440,1759676,23.08
IDBI,EQ,26-May-2017,61.7,62.4,63.45,62.05,62.7,62.65,62.69,5662009,354954331.4,18426,1029061,18.17
IDBI,EQ,29-May-2017,62.65,62.7,63.0,60.0,60.1,60.15,61.09,3830318,233998837.85,12004,1104768,28.84
IDBI,EQ,30-May-2017,60.15,59.3,61.25,58.8,60.9,60.75,60.27,4463073,268974089.4,12164,666689,14.94
IDBI,EQ,31-May-2017,60.75,60.8,61.0,59.3,60.1,60.0,59.97,4105571,246203119.05,13088,903542,22.01
IDBI,EQ,01-Jun-2017,60.0,59.55,61.1,59.45,60.6,60.75,60.21,3045916,183386494.15,10587,564961,18.55
IDBI,EQ,02-Jun-2017,60.75,61.45,61.5,60.1,60.75,60.95,60.91,3132336,190778726.8,11041,474454,15.15
IDBI,EQ,05-Jun-2017,60.95,60.9,61.45,60.4,60.6,60.75,60.88,1960528,119348839.6,7047,367270,18.73
IDBI,EQ,06-Jun-2017,60.75,60.75,61.05,59.25,59.75,59.85,60.0,2537684,152251302.6,8124,601929,23.72
IDBI,EQ,07-Jun-2017,59.85,59.9,60.5,59.8,60.3,60.2,60.12,2025835,121794291.2,11604,366247,18.08
IDBI,EQ,08-Jun-2017,60.2,60.3,60.55,59.25,59.45,59.4,59.76,2133559,127508134.75,9505,641035,30.05
IDBI,EQ,09-Jun-2017,59.4,59.1,60.25,58.75,59.75,59.9,59.68,2050990,122401570.25,9113,343153,16.73
IDBI,EQ,12-Jun-2017,59.9,59.1,59.75,58.1,58.25,58.3,58.92,2714012,159912176.4,10309,880205,32.43
IDBI,EQ,13-Jun-2017,58.3,58.3,58.7,57.1,57.2,57.4,58.01,2311430,134085914.25,9116,802545,34.72
IDBI,EQ,14-Jun-2017,57.4,57.45,60.7,57.05,59.65,60.05,59.01,6391227,377148329.5,20149,1303513,20.4
IDBI,EQ,15-Jun-2017,60.05,59.75,60.35,59.15,59.35,59.45,59.59,2901441,172897780.2,11573,470839,16.23
IDBI,EQ,16-Jun-2017,59.45,59.6,59.95,58.75,58.9,58.95,59.32,2194461,130166139.0,7285,611162,27.85
