Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JINDALSTEL,EQ,15-May-2017,112.1,112.9,114.85,112.3,114.7,114.2,113.84,5730419,652322564.2,22627,1197305,20.89
JINDALSTEL,EQ,16-May-2017,114.2,115.15,115.75,113.5,113.75,114.1,114.53,5083003,582139920.45,18359,1081322,21.27
JINDALSTEL,EQ,17-May-2017,114.1,114.5,118.2,114.2,116.35,116.4,116.62,14511700,1692387134.85,49346,4838996,33.35
JINDALSTEL,EQ,18-May-2017,116.4,114.7,115.8,112.6,112.95,113.3,113.83,6952070,791375394.45,23427,1894268,27.25
JINDALSTEL,EQ,19-May-2017,113.3,113.8,115.5,109.3,112.7,112.15,112.6,7976703,898192980.5,30938,1806216,22.64
JINDALSTEL,EQ,22-May-2017,112.15,113.45,115.8,111.95,114.45,113.75,114.08,7699472,878360429.45,28263,1833565,23.81
JINDALSTEL,EQ,23-May-2017,113.75,114.85,116.4,102.7,107.9,108.15,108.85,39016051,4246776833.6,130143,5521903,14.15
JINDALSTEL,EQ,24-May-2017,108.15,109.9,113.9,108.9,110.8,111.1,111.54,18762989,2092734445.75,62087,4301240,22.92
JINDALSTEL,EQ,25-May-2017,111.1,112.0,119.5,111.3,118.3,118.5,114.97,15373769,1767578343.0,49672,4319815,28.1
JINDALSTEL,EQ,26-May-2017,118.5,119.0,125.75,119.0,124.9,125.0,122.99,18661412,2295108131.9,77863,5187820,27.8
JINDALSTEL,EQ,29-May-2017,125.0,127.0,129.4,119.2,120.85,120.45,124.14,13503169,1676268057.1,50212,2301166,17.04
JINDALSTEL,EQ,30-May-2017,120.45,120.0,124.45,117.1,123.2,123.5,121.22,11227909,1361032689.65,41227,1790333,15.95
JINDALSTEL,EQ,31-May-2017,123.5,123.0,124.3,121.2,121.4,121.75,122.13,5671848,692710148.85,22699,1243076,21.92
JINDALSTEL,EQ,01-Jun-2017,121.75,121.75,121.9,118.4,120.8,120.3,119.85,5848472,700946491.9,21483,503627,8.61
JINDALSTEL,EQ,02-Jun-2017,120.3,121.2,123.45,120.6,121.95,121.85,122.08,6266169,764964056.25,24158,819893,13.08
JINDALSTEL,EQ,05-Jun-2017,121.85,121.9,123.7,121.05,121.4,121.8,122.28,4337415,530365416.85,17213,730390,16.84
JINDALSTEL,EQ,06-Jun-2017,121.8,121.9,122.4,117.5,117.65,118.2,119.53,5601738,669550866.65,19990,1155665,20.63
JINDALSTEL,EQ,07-Jun-2017,118.2,118.3,119.75,117.7,119.35,119.1,118.83,3348433,397910541.9,12896,599854,17.91
JINDALSTEL,EQ,08-Jun-2017,119.1,120.25,125.45,120.25,121.7,121.85,123.36,14349883,1770238935.35,55345,1810823,12.62
JINDALSTEL,EQ,09-Jun-2017,121.85,122.85,123.6,121.2,122.95,123.2,122.47,5958974,729813326.75,25344,910831,15.29
JINDALSTEL,EQ,12-Jun-2017,123.2,123.75,124.8,121.15,121.95,122.1,122.89,7078435,869844724.45,24636,1419559,20.05
JINDALSTEL,EQ,13-Jun-2017,122.1,122.6,123.9,121.5,123.0,122.95,122.82,4559238,559984256.85,16618,834539,18.3
JINDALSTEL,EQ,14-Jun-2017,122.95,122.4,122.9,120.0,122.9,122.4,121.6,5171829,628902088.75,21495,558643,10.8
JINDALSTEL,EQ,15-Jun-2017,122.4,121.8,127.35,121.3,125.85,125.6,124.65,10640828,1326400882.95,47349,2218675,20.85
JINDALSTEL,EQ,16-Jun-2017,125.6,126.4,127.15,123.9,124.0,124.5,125.44,8227650,1032077670.5,32214,2488956,30.25
JINDALSTEL,EQ,19-Jun-2017,124.5,125.05,128.75,123.5,127.15,127.1,126.77,10354191,1312564157.55,40575,2019851,19.51
JINDALSTEL,EQ,20-Jun-2017,127.1,127.5,127.8,125.4,126.35,126.2,126.5,5015100,634393726.8,18934,665936,13.28
JINDALSTEL,EQ,21-Jun-2017,126.2,125.75,126.2,123.9,124.65,124.65,124.96,5041417,629983022.95,17132,684789,13.58
JINDALSTEL,EQ,22-Jun-2017,124.65,125.4,126.55,120.35,121.8,121.7,124.41,5594348,695971907.25,19431,946999,16.93
JINDALSTEL,EQ,23-Jun-2017,121.7,122.5,122.8,116.75,118.75,118.45,119.05,7614299,906464599.95,26645,1553603,20.4
JINDALSTEL,EQ,27-Jun-2017,118.45,119.0,119.4,115.55,117.0,116.95,117.07,4143163,485051485.2,14631,627994,15.16
JINDALSTEL,EQ,28-Jun-2017,116.95,115.8,119.8,115.8,119.8,119.35,117.88,4730328,557600230.15,17831,832136,17.59
JINDALSTEL,EQ,29-Jun-2017,119.35,119.9,123.6,119.8,123.2,122.75,121.66,6122296,744818319.4,25568,1137993,18.59
JINDALSTEL,EQ,30-Jun-2017,122.75,123.0,124.25,121.05,123.1,123.2,122.66,6666973,817771608.35,24169,594014,8.91
JINDALSTEL,EQ,03-Jul-2017,123.2,123.45,129.1,122.8,128.75,128.7,127.13,10285845,1307595976.75,34617,2692849,26.18
JINDALSTEL,EQ,04-Jul-2017,128.7,129.0,130.25,125.65,125.95,126.05,127.72,8060732,1029480439.2,32853,1516964,18.82
JINDALSTEL,EQ,05-Jul-2017,126.05,126.2,131.65,125.05,131.25,130.55,128.62,8975070,1154373765.8,35463,2702011,30.11
JINDALSTEL,EQ,06-Jul-2017,130.55,131.9,132.85,130.25,130.9,131.45,131.59,7693411,1012343116.95,27923,1997490,25.96
JINDALSTEL,EQ,07-Jul-2017,131.45,131.0,136.4,130.1,131.85,132.15,133.53,13693420,1828519050.8,50596,2683252,19.6
JINDALSTEL,EQ,10-Jul-2017,132.15,136.0,136.0,132.0,134.2,134.45,134.18,1971807,264572458.2,11769,579411,29.38
JINDALSTEL,EQ,11-Jul-2017,134.45,134.95,139.8,131.2,138.9,138.85,136.68,17619564,2408223080.25,68792,2926905,16.61
JINDALSTEL,EQ,12-Jul-2017,138.85,139.05,140.9,137.7,139.8,140.15,139.48,11195043,1561515214.35,48964,2272905,20.3
JINDALSTEL,EQ,13-Jul-2017,140.15,141.95,142.05,137.1,138.2,138.45,139.54,8616248,1202278449.35,41192,1897926,22.03
JINDALSTEL,EQ,14-Jul-2017,138.45,138.5,139.0,136.2,137.2,137.3,137.44,4112013,565154149.8,20553,995043,24.2
JINDALSTEL,EQ,17-Jul-2017,137.3,138.0,142.0,136.8,141.4,141.6,140.23,7051772,988878338.8,32182,1764112,25.02
JINDALSTEL,EQ,18-Jul-2017,141.6,140.85,142.9,138.9,139.9,140.3,141.04,7430269,1047945304.05,35864,873733,11.76
JINDALSTEL,EQ,19-Jul-2017,140.3,140.5,143.9,140.4,143.0,143.3,142.81,6706307,957708274.5,26027,1220489,18.2
JINDALSTEL,EQ,20-Jul-2017,143.3,143.0,144.1,140.05,140.8,141.1,141.83,4477457,635041365.95,18392,701035,15.66
JINDALSTEL,EQ,21-Jul-2017,141.1,141.0,141.5,133.15,136.75,136.65,137.24,6711060,921054117.45,23539,1176029,17.52
JINDALSTEL,EQ,24-Jul-2017,136.65,137.0,139.5,136.1,138.65,138.45,137.91,3235654,446222507.9,14630,731313,22.6
JINDALSTEL,EQ,25-Jul-2017,138.45,138.5,140.9,137.55,140.8,139.95,139.04,4173516,580278414.65,20836,1323945,31.72
JINDALSTEL,EQ,26-Jul-2017,139.95,140.65,152.45,140.55,151.15,151.7,148.05,24374014,3608685556.3,110632,3949419,16.2
JINDALSTEL,EQ,27-Jul-2017,151.7,152.0,153.5,149.0,152.55,152.85,151.68,12002213,1820494854.5,49704,2086084,17.38
JINDALSTEL,EQ,28-Jul-2017,152.85,150.8,152.7,147.3,149.8,149.85,150.23,7471971,1122507969.9,30289,858920,11.5
JINDALSTEL,EQ,31-Jul-2017,149.85,150.0,158.25,149.05,152.95,153.4,155.16,13711466,2127448815.6,57570,2249534,16.41
JINDALSTEL,EQ,01-Aug-2017,153.4,154.5,157.0,153.5,155.25,155.05,154.9,6201163,960559140.9,26634,1869409,30.15
JINDALSTEL,EQ,02-Aug-2017,155.05,155.1,159.4,153.6,157.8,158.4,156.34,13676016,2138095939.9,57894,5154618,37.69
JINDALSTEL,EQ,03-Aug-2017,158.4,157.0,157.0,139.85,141.95,142.1,147.87,28593865,4228049877.25,121189,7657139,26.78
JINDALSTEL,EQ,04-Aug-2017,142.1,141.5,144.75,135.4,138.35,138.35,139.26,19765790,2752568662.35,82370,5183638,26.23
JINDALSTEL,EQ,07-Aug-2017,138.35,139.9,145.5,139.75,143.6,143.55,143.59,14571995,2092325113.35,50063,3973941,27.27
JINDALSTEL,EQ,08-Aug-2017,143.55,145.4,148.4,138.0,139.75,139.5,143.18,21958214,3144024978.95,85983,5852361,26.65
JINDALSTEL,EQ,09-Aug-2017,139.5,142.0,143.9,134.25,134.95,135.95,140.13,15924281,2231539743.3,66677,3387528,21.27
JINDALSTEL,EQ,10-Aug-2017,135.95,135.0,135.0,116.3,127.0,123.3,128.5,16399537,2107381290.05,68548,4669291,28.47
JINDALSTEL,EQ,11-Aug-2017,123.3,121.0,129.9,114.5,129.45,127.65,124.7,16525936,2060789366.6,70334,3432862,20.77
JINDALSTEL,EQ,14-Aug-2017,127.65,131.0,138.3,130.0,135.25,136.65,135.27,12010871,1624718692.3,52525,2391514,19.91
JINDALSTEL,EQ,16-Aug-2017,136.65,136.7,139.8,130.35,138.25,138.4,135.92,13003612,1767427437.0,51152,2218060,17.06
JINDALSTEL,EQ,17-Aug-2017,138.4,138.95,142.7,137.65,139.45,139.85,140.37,11091385,1556949024.05,40587,2289006,20.64
JINDALSTEL,EQ,18-Aug-2017,139.85,138.0,139.25,134.8,136.0,136.3,136.81,8894022,1216833024.05,32975,1542571,17.34
JINDALSTEL,EQ,21-Aug-2017,136.3,138.45,139.45,130.7,131.3,131.7,135.79,6302704,855861417.15,28254,1207425,19.16
JINDALSTEL,EQ,22-Aug-2017,131.7,133.5,134.35,128.1,129.6,129.0,131.43,7656731,1006334107.0,30915,1161736,15.17
JINDALSTEL,EQ,23-Aug-2017,129.0,132.9,133.75,129.2,133.1,133.1,131.16,6241441,818625643.9,25414,517676,8.29
JINDALSTEL,EQ,24-Aug-2017,133.1,133.8,136.4,132.7,135.5,135.15,134.84,6541270,882056516.95,26946,879661,13.45
JINDALSTEL,EQ,28-Aug-2017,135.15,135.5,137.1,133.05,135.7,135.85,135.26,4814276,651160401.1,34757,856689,17.79
