Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RBLBANK,EQ,15-May-2017,556.55,557.5,564.9,551.1,564.25,563.9,560.31,888219,497674867.95,17580,387382,43.61
RBLBANK,EQ,16-May-2017,563.9,564.8,567.7,559.0,561.6,562.6,562.26,495571,278640917.4,8172,203735,41.11
RBLBANK,EQ,17-May-2017,562.6,563.0,569.9,558.0,564.7,564.25,563.94,831318,468817558.0,13860,253851,30.54
RBLBANK,EQ,18-May-2017,564.25,559.8,563.0,551.0,553.5,552.15,555.33,1050920,583612037.35,27124,615645,58.58
RBLBANK,EQ,19-May-2017,552.15,560.95,567.0,551.4,553.8,555.45,558.44,1292735,721910060.6,39632,569809,44.08
RBLBANK,EQ,22-May-2017,555.45,557.5,559.95,542.6,545.5,544.85,548.78,676006,370977954.8,13070,285523,42.24
RBLBANK,EQ,23-May-2017,544.85,546.0,547.4,502.2,522.0,524.5,525.03,1588845,834193700.8,31571,531438,33.45
RBLBANK,EQ,24-May-2017,524.5,524.95,539.7,518.2,526.3,524.35,529.33,1343057,710921387.3,25418,486475,36.22
RBLBANK,EQ,25-May-2017,524.35,527.8,549.45,525.75,548.2,545.6,537.94,1052847,566367161.5,17723,446922,42.45
RBLBANK,EQ,26-May-2017,545.6,549.4,552.5,505.3,515.6,516.55,521.74,7280565,3798585459.8,92398,3695651,50.76
RBLBANK,EQ,29-May-2017,516.55,519.0,527.9,504.0,507.05,508.15,514.44,2977390,1531691905.15,42525,1197065,40.21
RBLBANK,EQ,30-May-2017,508.15,505.4,514.0,495.85,511.0,509.5,507.62,1418146,719881872.8,21947,333261,23.5
RBLBANK,EQ,31-May-2017,509.5,511.0,537.9,509.9,536.0,527.7,523.48,3068601,1606363621.05,44628,1326531,43.23
RBLBANK,EQ,01-Jun-2017,527.7,533.0,554.25,531.0,549.6,550.1,543.29,3657981,1987343545.05,54169,1189994,32.53
RBLBANK,EQ,02-Jun-2017,550.1,552.0,558.0,546.05,550.0,550.85,552.57,1634243,903033424.7,26334,526126,32.19
RBLBANK,EQ,05-Jun-2017,550.85,552.9,552.9,540.0,542.8,542.95,546.73,761989,416601092.6,14325,286938,37.66
RBLBANK,EQ,06-Jun-2017,542.95,543.4,550.8,537.5,541.4,542.8,544.27,1075850,585553292.75,18819,234654,21.81
RBLBANK,EQ,07-Jun-2017,542.8,543.0,552.7,539.35,550.3,549.45,545.51,1431120,780683985.8,20354,640881,44.78
RBLBANK,EQ,08-Jun-2017,549.45,551.7,551.85,542.1,542.5,544.65,546.62,1553389,849113252.2,25524,777537,50.05
RBLBANK,EQ,09-Jun-2017,544.65,543.0,543.7,533.5,536.1,537.6,538.16,1196296,643796053.7,15758,578450,48.35
RBLBANK,EQ,12-Jun-2017,537.6,536.0,536.6,526.3,527.3,527.8,529.86,830261,439924655.8,13310,344417,41.48
RBLBANK,EQ,13-Jun-2017,527.8,528.0,533.65,514.25,516.0,516.35,523.52,1508713,789838934.75,27905,541069,35.86
RBLBANK,EQ,14-Jun-2017,516.35,517.0,524.7,512.25,517.95,518.1,517.85,1540848,797934364.8,26356,388281,25.2
RBLBANK,EQ,15-Jun-2017,518.1,518.5,519.15,510.1,513.45,514.0,514.81,897817,462208374.45,15822,356387,39.69
RBLBANK,EQ,16-Jun-2017,514.0,514.0,520.4,513.0,515.35,515.0,517.03,1156394,597890861.95,15282,435971,37.7
RBLBANK,EQ,19-Jun-2017,515.0,517.9,518.6,507.05,507.5,509.35,512.67,1041585,533990639.65,19690,541892,52.03
RBLBANK,EQ,20-Jun-2017,509.35,510.0,515.5,508.45,509.5,509.65,511.51,927004,474171365.15,29582,379606,40.95
RBLBANK,EQ,21-Jun-2017,509.65,510.9,517.85,505.0,511.3,512.2,513.59,1659522,852314343.3,27068,652298,39.31
RBLBANK,EQ,22-Jun-2017,512.2,514.8,518.0,509.85,512.4,511.7,516.07,1500000,774106302.95,19900,874722,58.31
RBLBANK,EQ,23-Jun-2017,511.7,514.0,514.0,501.6,506.0,505.85,506.07,1195150,604831538.9,23399,574916,48.1
RBLBANK,EQ,27-Jun-2017,505.85,506.0,511.0,492.25,507.55,508.95,502.42,1651637,829814774.8,39112,766106,46.38
RBLBANK,EQ,28-Jun-2017,508.95,505.75,512.75,502.85,504.95,505.35,506.89,1064791,539734924.05,23810,376128,35.32
RBLBANK,EQ,29-Jun-2017,505.35,506.95,514.65,500.0,501.3,501.8,506.65,1797714,910816554.9,38586,732470,40.74
RBLBANK,EQ,30-Jun-2017,501.8,498.5,509.0,496.25,508.5,507.75,503.69,1665573,838936966.55,25131,635095,38.13
RBLBANK,EQ,03-Jul-2017,507.75,507.95,519.5,503.75,518.0,517.7,514.84,1681165,865525078.8,25073,551900,32.83
RBLBANK,EQ,04-Jul-2017,517.7,518.0,527.35,516.0,522.0,521.8,522.86,2341020,1224035310.85,47023,1025267,43.8
RBLBANK,EQ,05-Jul-2017,521.8,525.3,526.9,520.5,524.0,524.25,523.37,1352844,708040497.8,18312,594034,43.91
RBLBANK,EQ,06-Jul-2017,524.25,522.0,529.4,521.05,523.15,524.85,526.04,977589,514252170.55,15175,383542,39.23
RBLBANK,EQ,07-Jul-2017,524.85,512.0,530.0,508.4,527.3,527.0,519.9,4378621,2276435168.85,67213,1438803,32.86
RBLBANK,EQ,10-Jul-2017,527.0,530.0,551.0,495.0,532.9,532.6,531.64,264541,140641675.95,3830,141273,53.4
RBLBANK,EQ,11-Jul-2017,532.6,532.5,537.9,530.0,530.3,532.05,533.53,895189,477606511.8,13457,318209,35.55
RBLBANK,EQ,12-Jul-2017,532.05,533.0,536.0,529.3,533.0,533.75,532.67,616647,328471566.6,9565,203400,32.98
RBLBANK,EQ,13-Jul-2017,533.75,534.0,547.0,533.0,546.05,546.35,542.55,2016844,1094245771.7,26227,694888,34.45
RBLBANK,EQ,14-Jul-2017,546.35,549.75,551.75,538.45,540.25,540.75,542.82,1083576,588186762.65,19109,385794,35.6
RBLBANK,EQ,17-Jul-2017,540.75,542.0,545.0,519.75,524.15,529.45,534.63,1232430,658895570.0,15498,707363,57.4
RBLBANK,EQ,18-Jul-2017,529.45,522.6,526.5,517.35,521.5,521.45,522.43,1388550,725421001.05,29365,723514,52.11
RBLBANK,EQ,19-Jul-2017,521.45,523.95,541.3,522.05,540.5,537.6,531.85,1884008,1002004913.9,23524,882459,46.84
RBLBANK,EQ,20-Jul-2017,537.6,542.5,547.0,536.0,538.5,539.45,541.99,2053946,1113222986.35,28463,804298,39.16
RBLBANK,EQ,21-Jul-2017,539.45,540.0,544.5,528.0,532.0,532.35,535.27,2057774,1101454585.45,26277,454476,22.09
RBLBANK,EQ,24-Jul-2017,532.35,531.8,538.7,522.5,524.1,524.25,530.02,865534,458748266.8,14958,359042,41.48
RBLBANK,EQ,25-Jul-2017,524.25,528.0,530.75,524.45,529.65,529.1,528.88,680352,359821219.0,11114,279233,41.04
RBLBANK,EQ,26-Jul-2017,529.1,530.0,530.5,525.05,528.5,528.3,528.81,781054,413029378.45,17835,448762,57.46
RBLBANK,EQ,27-Jul-2017,528.3,529.6,544.0,517.85,533.7,538.2,534.11,3193974,1705933978.5,26325,1592562,49.86
RBLBANK,EQ,28-Jul-2017,538.2,533.0,539.8,528.0,532.4,534.45,534.48,723003,386431517.4,11252,256656,35.5
RBLBANK,EQ,31-Jul-2017,534.45,533.0,538.5,528.0,535.85,534.75,534.41,830068,443596666.2,12545,327957,39.51
RBLBANK,EQ,01-Aug-2017,534.75,537.85,539.5,527.0,531.85,530.45,533.3,1033386,551109788.3,18622,518068,50.13
RBLBANK,EQ,02-Aug-2017,530.45,531.95,535.75,526.35,526.55,527.4,532.0,1033249,549684640.45,15778,606276,58.68
RBLBANK,EQ,03-Aug-2017,527.4,526.55,531.2,515.0,519.0,517.35,522.65,914352,477889310.85,13596,429479,46.97
RBLBANK,EQ,04-Aug-2017,517.35,519.0,519.0,508.5,514.0,515.05,513.67,1116067,573285327.65,17628,546527,48.97
RBLBANK,EQ,07-Aug-2017,515.05,518.7,523.35,517.0,520.0,519.45,520.59,582059,303012319.25,8389,269037,46.22
RBLBANK,EQ,08-Aug-2017,519.45,521.85,522.0,506.2,511.0,511.8,513.27,954207,489761576.0,12301,426038,44.65
RBLBANK,EQ,09-Aug-2017,511.8,512.4,512.4,493.2,495.0,497.2,501.93,1320783,662934898.15,27789,690071,52.25
RBLBANK,EQ,10-Aug-2017,497.2,499.7,505.0,482.35,492.0,490.35,494.94,1507305,746021460.75,33173,579361,38.44
RBLBANK,EQ,11-Aug-2017,490.35,477.0,498.95,474.95,490.05,490.3,486.9,1164361,566927147.75,16991,407660,35.01
RBLBANK,EQ,14-Aug-2017,490.3,492.8,501.9,490.6,498.0,497.75,497.59,673664,335211736.35,15663,259143,38.47
RBLBANK,EQ,16-Aug-2017,497.75,499.05,526.7,499.0,525.15,523.9,514.18,1816633,934076504.6,61636,829814,45.68
RBLBANK,EQ,17-Aug-2017,523.9,526.0,527.0,513.7,517.1,516.95,518.28,1199659,621763302.5,30756,495857,41.33
RBLBANK,EQ,18-Aug-2017,516.95,514.8,529.5,506.0,527.4,527.25,523.82,2050151,1073903077.05,47317,911055,44.44
RBLBANK,EQ,21-Aug-2017,527.25,528.95,529.8,503.5,507.5,506.8,515.77,1252384,645937873.75,18771,488106,38.97
RBLBANK,EQ,22-Aug-2017,506.8,508.8,513.7,500.0,501.5,501.65,505.9,1007123,509500612.55,19477,344983,34.25
RBLBANK,EQ,23-Aug-2017,501.65,506.0,512.85,504.0,508.6,509.15,508.81,609202,309965374.05,9075,184800,30.33
RBLBANK,EQ,24-Aug-2017,509.15,508.45,514.8,506.35,510.7,510.2,510.59,786616,401641372.5,16626,255435,32.47
RBLBANK,EQ,28-Aug-2017,510.2,513.0,519.4,507.4,515.6,511.0,514.03,1302075,669309174.1,17550,467714,35.92
RBLBANK,EQ,29-Aug-2017,511.0,506.0,541.5,506.0,532.0,531.55,531.65,12629633,6714552445.0,106731,5258193,41.63
RBLBANK,EQ,30-Aug-2017,531.55,537.5,542.5,528.8,536.0,537.55,535.64,5238763,2806085208.4,41976,2995296,57.18
RBLBANK,EQ,31-Aug-2017,537.55,538.0,546.8,532.55,544.0,544.6,540.94,5131679,2775933413.25,40524,2959474,57.67
RBLBANK,EQ,01-Sep-2017,544.6,544.0,548.5,531.95,535.6,535.35,541.84,2021850,1095526540.8,23411,982125,48.58
RBLBANK,EQ,04-Sep-2017,535.35,535.6,539.7,525.25,533.5,534.05,532.33,1234312,657066794.35,18053,350068,28.36
RBLBANK,EQ,05-Sep-2017,534.05,536.85,543.5,535.1,536.2,537.35,539.38,1103951,595449409.45,26015,419085,37.96
RBLBANK,EQ,06-Sep-2017,537.35,533.35,542.95,533.0,539.25,539.6,539.95,1818960,982150554.2,29826,1089138,59.88
RBLBANK,EQ,07-Sep-2017,539.6,542.0,542.9,529.75,532.85,533.15,535.19,1958539,1048181513.05,22816,1115188,56.94
RBLBANK,EQ,08-Sep-2017,533.15,535.0,539.0,531.7,535.9,537.0,535.12,1036368,554585410.2,9770,625815,60.39
RBLBANK,EQ,11-Sep-2017,537.0,539.0,543.4,532.95,536.0,535.75,540.37,1777508,960512354.75,27109,1005269,56.55
RBLBANK,EQ,12-Sep-2017,535.75,537.0,541.7,536.0,540.0,539.9,539.72,1150877,621149867.65,18951,694887,60.38
RBLBANK,EQ,13-Sep-2017,539.9,540.0,544.4,530.6,535.1,534.0,539.45,1696380,915119286.9,19811,819523,48.31
RBLBANK,EQ,14-Sep-2017,534.0,535.5,539.4,530.55,531.75,531.7,533.65,951570,507801074.25,9018,492489,51.76
RBLBANK,EQ,15-Sep-2017,531.7,530.0,534.7,525.15,530.0,532.0,530.35,1309136,694300790.8,21771,736479,56.26
RBLBANK,EQ,18-Sep-2017,532.0,532.75,540.25,532.75,535.75,537.45,537.81,897683,482786145.5,14547,472328,52.62
RBLBANK,EQ,19-Sep-2017,537.45,537.5,539.0,534.0,534.75,535.1,535.85,407337,218270506.25,6568,175629,43.12
RBLBANK,EQ,20-Sep-2017,535.1,535.0,536.8,529.0,529.9,530.85,531.86,614057,326593558.5,7983,295595,48.14
RBLBANK,EQ,21-Sep-2017,530.85,530.1,535.5,523.45,534.65,533.2,529.82,1276036,676073902.2,14795,604965,47.41
RBLBANK,EQ,22-Sep-2017,533.2,531.95,531.95,515.25,518.0,517.15,522.02,1040179,542991075.7,14058,420911,40.47
RBLBANK,EQ,25-Sep-2017,517.15,510.25,517.5,497.0,510.0,511.65,507.22,1403714,711996622.85,24790,462461,32.95
RBLBANK,EQ,26-Sep-2017,511.65,516.95,517.0,505.35,509.6,510.25,509.59,894886,456027364.95,17453,408264,45.62
RBLBANK,EQ,27-Sep-2017,510.25,517.6,517.6,498.75,500.95,500.9,507.33,1335998,677790138.75,15795,816662,61.13
RBLBANK,EQ,28-Sep-2017,500.9,503.1,511.9,496.65,501.0,503.45,504.3,2160072,1089325215.35,33858,1364856,63.19
