Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IRCON,EQ,28-Sep-2018,475.0,412.0,465.0,409.1,412.95,415.3,436.73,5675479,2478674414.2,182952,1617374,28.5
IRCON,EQ,01-Oct-2018,415.3,418.1,434.85,406.6,428.25,427.0,419.97,624624,262323344.65,20363,148088,23.71
IRCON,EQ,03-Oct-2018,427.0,431.35,437.85,418.55,419.05,421.4,427.59,279765,119625810.9,9172,110748,39.59
IRCON,EQ,04-Oct-2018,421.4,419.0,419.0,404.0,405.45,407.1,410.83,232364,95462083.7,10440,111715,48.08
IRCON,EQ,05-Oct-2018,407.1,407.0,409.1,388.3,397.95,399.8,396.4,373530,148067647.05,9636,203317,54.43
IRCON,EQ,08-Oct-2018,399.8,398.0,400.0,380.0,380.9,382.05,390.29,134318,52423470.3,5565,52484,39.07
IRCON,EQ,09-Oct-2018,382.05,382.5,386.25,355.0,363.2,363.65,367.64,251694,92532166.75,7718,103145,40.98
IRCON,EQ,10-Oct-2018,363.65,367.0,384.4,356.7,365.8,365.05,366.37,682482,250043646.2,13613,323172,47.35
IRCON,EQ,11-Oct-2018,365.05,359.8,373.1,350.05,360.05,360.95,364.06,191987,69894994.0,5894,75420,39.28
IRCON,EQ,12-Oct-2018,360.95,371.0,373.4,362.1,368.0,368.0,368.49,258969,95428123.5,15564,162837,62.88
IRCON,EQ,15-Oct-2018,368.0,374.0,378.8,368.55,375.75,375.4,373.44,228108,85184517.7,14338,117217,51.39
IRCON,EQ,16-Oct-2018,375.4,378.4,392.0,372.0,378.0,379.4,380.91,234268,89234387.15,8717,97125,41.46
IRCON,EQ,17-Oct-2018,379.4,384.8,384.8,365.6,367.0,367.6,374.28,109997,41169398.15,6052,51024,46.39
IRCON,EQ,19-Oct-2018,367.6,367.1,367.1,360.0,362.5,361.75,362.49,59494,21565694.45,2294,25445,42.77
IRCON,EQ,22-Oct-2018,361.75,363.9,364.9,355.0,355.3,355.8,358.06,50845,18205365.3,2189,21815,42.9
IRCON,EQ,23-Oct-2018,355.8,355.8,355.8,346.05,349.0,347.85,351.06,60941,21393923.45,2042,29271,48.03
IRCON,EQ,24-Oct-2018,347.85,353.0,354.6,344.0,345.6,345.5,347.29,55627,19318566.05,2211,20966,37.69
IRCON,EQ,25-Oct-2018,345.5,343.8,349.35,338.0,342.0,342.7,342.42,53967,18479461.4,2596,18472,34.23
IRCON,EQ,26-Oct-2018,342.7,343.2,353.0,340.95,347.0,346.55,346.11,61398,21250700.6,2066,26053,42.43
IRCON,EQ,29-Oct-2018,346.55,350.0,351.85,345.0,347.6,348.55,349.22,57626,20123924.15,2088,34573,60.0
IRCON,EQ,30-Oct-2018,348.55,350.9,357.45,347.1,348.0,348.35,350.42,77720,27234755.4,3689,37382,48.1
IRCON,EQ,31-Oct-2018,348.35,350.9,351.8,344.55,348.5,347.4,348.06,40403,14062825.1,2888,20922,51.78
IRCON,EQ,01-Nov-2018,347.4,349.1,362.0,347.0,357.0,356.4,355.15,143203,50858995.35,6345,72201,50.42
IRCON,EQ,02-Nov-2018,356.4,360.6,371.2,358.65,362.7,360.9,365.45,181775,66430114.7,10149,100878,55.5
