Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITDC,EQ,15-May-2017,611.35,616.8,663.2,602.4,648.1,650.15,645.77,217237,140286090.1,8827,37494,17.26
ITDC,EQ,16-May-2017,650.15,654.0,655.95,633.05,639.0,636.7,642.75,55988,35986166.4,2853,17726,31.66
ITDC,EQ,17-May-2017,636.7,638.1,642.9,624.0,624.0,626.75,633.59,23787,15071122.75,980,9924,41.72
ITDC,EQ,18-May-2017,626.75,621.8,624.0,601.5,604.0,604.65,614.44,37216,22866933.3,1498,16716,44.92
ITDC,EQ,19-May-2017,604.65,610.05,618.0,590.9,591.0,594.3,605.41,43801,26517497.35,2121,17563,40.1
ITDC,EQ,22-May-2017,594.3,588.1,603.0,559.85,576.9,574.65,580.43,44113,25604656.5,1934,18646,42.27
ITDC,EQ,23-May-2017,574.65,581.35,581.35,541.0,553.35,553.8,555.66,41536,23079950.8,2105,13365,32.18
ITDC,EQ,24-May-2017,553.8,560.95,561.0,504.05,511.05,516.15,530.21,58400,30964223.75,2741,24353,41.7
ITDC,EQ,25-May-2017,516.15,504.0,527.3,497.0,507.1,508.15,510.71,61922,31624393.5,2349,25573,41.3
ITDC,EQ,26-May-2017,508.15,508.0,517.0,498.0,512.0,511.05,510.33,30179,15401160.0,1226,11628,38.53
ITDC,EQ,29-May-2017,511.05,515.7,539.5,508.0,510.1,511.85,523.35,33406,17483044.85,1502,11289,33.79
ITDC,EQ,30-May-2017,511.85,512.05,512.05,501.0,501.05,504.7,505.66,21330,10785690.55,1020,9766,45.79
ITDC,EQ,31-May-2017,504.7,487.0,537.4,487.0,523.0,520.65,523.64,120804,63257431.75,4929,25238,20.89
ITDC,EQ,01-Jun-2017,520.65,523.25,533.8,513.75,520.4,519.15,523.23,36433,19062768.45,1437,13302,36.51
ITDC,EQ,02-Jun-2017,519.15,519.0,525.0,489.0,496.0,498.4,503.87,53199,26805287.5,1901,23562,44.29
ITDC,EQ,05-Jun-2017,498.4,491.0,548.2,491.0,542.0,539.1,536.34,262721,140909080.75,8680,47209,17.97
ITDC,EQ,06-Jun-2017,539.1,544.5,555.0,536.0,539.0,539.2,544.44,76206,41489847.55,2980,24041,31.55
ITDC,EQ,07-Jun-2017,539.2,541.0,633.0,541.0,602.0,614.1,598.72,575619,344632840.25,17725,66253,11.51
ITDC,EQ,08-Jun-2017,614.1,606.0,638.7,601.0,609.9,609.95,621.25,355619,220929739.3,13593,64417,18.11
ITDC,EQ,09-Jun-2017,609.95,610.0,626.5,605.1,606.45,608.4,615.6,99799,61435945.3,3517,26379,26.43
ITDC,EQ,12-Jun-2017,608.4,603.95,616.4,589.0,590.35,593.2,602.56,73418,44238996.7,2974,18620,25.36
ITDC,EQ,13-Jun-2017,593.2,598.9,624.8,598.15,608.0,608.0,612.48,148609,91020434.5,6680,28093,18.9
ITDC,EQ,14-Jun-2017,608.0,610.4,615.0,601.0,601.3,604.3,607.58,49090,29826271.3,1920,11108,22.63
ITDC,EQ,15-Jun-2017,604.3,604.95,622.0,600.5,608.0,606.85,610.23,71653,43724869.05,3847,16390,22.87
