Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAYMOND,EQ,15-May-2017,763.45,765.0,779.0,757.05,773.9,772.8,770.09,292498,225249137.55,9033,55467,18.96
RAYMOND,EQ,16-May-2017,772.8,773.45,801.45,768.1,783.5,785.0,788.89,823956,650006994.6,18238,179377,21.77
RAYMOND,EQ,17-May-2017,785.0,786.0,804.95,778.4,785.5,783.65,792.72,598094,474121199.8,13968,127637,21.34
RAYMOND,EQ,18-May-2017,783.65,779.35,779.95,740.2,744.0,746.95,762.57,319834,243895555.8,7713,92200,28.83
RAYMOND,EQ,19-May-2017,746.95,748.0,767.5,714.0,722.0,723.1,740.3,561346,415561909.4,13328,137648,24.52
RAYMOND,EQ,22-May-2017,723.1,728.3,741.3,705.5,710.6,715.95,724.56,384821,278826926.4,11424,51189,13.3
RAYMOND,EQ,23-May-2017,715.95,713.0,723.8,681.25,698.25,699.55,699.33,501206,350509713.7,12935,126651,25.27
RAYMOND,EQ,24-May-2017,699.55,704.9,705.5,642.2,667.0,662.25,674.73,591516,399116303.75,16424,141211,23.87
RAYMOND,EQ,25-May-2017,662.25,630.0,686.25,598.1,682.9,678.3,651.28,2850149,1856244030.6,54827,315039,11.05
RAYMOND,EQ,26-May-2017,678.3,681.7,733.9,679.65,718.65,721.15,710.37,1455736,1034107349.7,32550,237806,16.34
RAYMOND,EQ,29-May-2017,721.15,721.95,732.0,690.8,695.7,695.5,709.2,410356,291026256.55,11904,55650,13.56
RAYMOND,EQ,30-May-2017,695.5,692.9,700.0,679.1,694.0,695.45,692.08,328214,227148924.1,8238,54841,16.71
RAYMOND,EQ,31-May-2017,695.45,695.0,720.0,691.2,694.9,694.2,704.84,495558,349288831.55,12826,120266,24.27
RAYMOND,EQ,01-Jun-2017,694.2,696.0,708.8,674.1,693.5,693.9,697.14,378903,264146785.75,10342,51076,13.48
RAYMOND,EQ,02-Jun-2017,693.9,707.8,714.5,697.4,702.1,702.65,706.31,426635,301334551.6,9861,64055,15.01
RAYMOND,EQ,05-Jun-2017,702.65,705.1,757.0,705.0,749.45,751.25,739.27,1863074,1377323053.35,36896,201205,10.8
RAYMOND,EQ,06-Jun-2017,751.25,756.0,759.5,721.3,729.15,728.45,741.59,1165454,864293244.4,25036,171125,14.68
