Stock,Custom Accuracy (%)
ADANIPORTS,96.62921348314607
ASIANPAINT,100.0
AXISBANK,100.0
BAJFINANCE,98.87640449438202
BPCL,96.62921348314607
CIPLA,98.87640449438202
DRREDDY,98.87640449438202
EICHERMOT,94.3820224719101
GAIL,100.0
HDFC,100.0
HDFCBANK,100.0
HEROMOTOCO,98.87640449438202
HINDALCO,100.0
HINDUNILVR,100.0
INFRATEL,94.3820224719101
INFY,100.0
IOC,96.62921348314607
ITC,100.0
LT,100.0
M&M,100.0
MARUTI,97.75280898876404
RELIANCE,100.0
SUNPHARMA,96.62921348314607
TCS,100.0
TITAN,100.0
ADANIPOWER,86.51685393258427
AJANTPHARM,96.62921348314607
AMARAJABAT,98.87640449438202
APOLLOTYRE,100.0
BERGEPAINT,100.0
CASTROLIND,95.50561797752809
CUMMINSIND,100.0
DHFL,75.28089887640449
EXIDEIND,100.0
GMRINFRA,97.75280898876404
GODREJIND,100.0
IDBI,89.8876404494382
IGL,87.64044943820225
JINDALSTEL,92.13483146067416
JUBLFOOD,96.62921348314607
MINDTREE,100.0
MRPL,97.75280898876404
MUTHOOTFIN,96.62921348314607
NBCC,86.51685393258427
PNB,92.13483146067416
RBLBANK,100.0
RELINFRA,75.28089887640449
SUNTV,95.50561797752809
TATACHEM,97.75280898876404
TATAPOWER,98.87640449438202
VOLTAS,100.0
ASHOKA,94.3820224719101
BAJAJELEC,95.50561797752809
BOMDYEING,86.48648648648648
CENTURYPLY,97.75280898876404
FORTIS,100.0
GUJALKALI,96.62921348314607
IDFC,94.3820224719101
IRCON,100.0
ITDC,96.62921348314607
JETAIRWAYS,78.65168539325843
JKLAKSHMI,97.75280898876404
LALPATHLAB,100.0
LAXMIMACH,98.87640449438202
LEMONTREE,95.45454545454545
LUXIND,93.25842696629213
MINDAIND,88.76404494382022
NCC,95.50561797752809
PVR,98.87640449438202
RAYMOND,97.75280898876404
RCOM,62.92134831460674
SONATSOFTW,100.0
SUZLON,74.15730337078652
VENKEYS,94.3820224719101
VIPIND,94.3820224719101
WELSPUNIND,93.25842696629213
